Student Name,House,Year,Wand Type,Pet,Potions Grade,Defense Against the Dark Arts Grade,Transfiguration Grade,Spells Learned,Quidditch Position,Points Earned for House,Detentions,Participation in Dueling Club,Triwizard Tournament Involvement,Items Owned,Knuts Spent in Hogsmeade,Attendance at Classes,Magical Accidents
Seamus Potter,Slytherin,2,"9 inches, elm, veela hair core",Dragon,Outstanding,Exceeds Expectations,Outstanding,26,Beater,-100,3,No,No,"Time-Turner, Marauder's Map",88,74,5
Ginny Spinnet,Gryffindor,6,"9 inches, elm, veela hair core",Cat,Exceeds Expectations,Acceptable,Outstanding,11,Chaser,139,2,No,No,"Firebolt, Sneakoscope, Extendable Ears",99,67,6
Padma Parkinson,Gryffindor,4,"11 inches, holly, phoenix feather core",Muggle Born,Outstanding,Acceptable,Outstanding,19,Seeker,93,2,No,No,Invisibility Cloak,342,88,6
,Ravenclaw,1,"12 inches, yew, unicorn hair core",Toad,Exceeds Expectations,Exceeds Expectations,Exceeds Expectations,16,Seeker,-73,2,No,,Time-Turner,233,45,5
,Ravenclaw,1,"10 inches, oak, dragon heartstring core",Owl,,Outstanding,Exceeds Expectations,9,Keeper,90,0,No,Yes,"Marauder's Map, Sneakoscope",473,27,7
Seamus Lovegood,Hufflepuff,4,"11 inches, holly, phoenix feather core",,Outstanding,Poor,Poor,16,Keeper,-33,2,No,,Firebolt,500,47,0
Katie Finnigan,Gryffindor,4,"11 inches, holly, phoenix feather core",Dragon,Poor,Exceeds Expectations,Poor,21,Seeker,8,3,Yes,No,Firebolt,322,33,9
George Johnson,Slytherin,3,"12 inches, yew, unicorn hair core",,Poor,Poor,Acceptable,25,See;ker,-65,1,No,Yes,"Sneakoscope, Invisibility Cloak, Time-Turner",99,25,9
Fred Johnson,Ravenclaw,1,"11 inches, holly, phoenix feather core",Owl,,Outstanding,Acceptable,27,Chaser,33,0,No,No,"Marauder's Map, Extendable Ears",351,39,2
,Slytherin,7,"9 inches, elm, veela hair core",,Poor,Acceptable,Exceeds Expectations,25,Ch[aser,140,1,No,No,"Marauder's Map, Sneakoscope, Extendable Ears",166,54,8
