Student Name,House,Year,Wand Type,Pet,Potions Grade,Defense Against the Dark Arts Grade,Transfiguration Grade,Spells Learned,Quidditch Position,Points Earned for House,Detentions,Participation in Dueling Club,Triwizard Tournament Involvement,Items Owned,Knuts Spent in Hogsmeade,Attendance at Classes,Magical Accidents
Terry Finnigan,Ravenclaw,2,"9 inches, elm, veela hair core",,Acceptable,Exceeds Expectations,Outstanding,23,,54,1,Yes,Yes,"Extendable Ears, Marauder's Map",391,49,1
Cho Spinnet,Hufflepuff,5,"11 inches, holly, phoenix feather core",,Acceptable,Exceeds Expectations,Outstanding,8,Chaser,25,3,Yes,No,"Sneakoscope, Invisibility Cloak, Extendable Ears",325,72,4
Ginny Potter,Ravenclaw,2,"12 inches, yew, unicorn hair core",Dragon,Outstanding,Poor,Poor,13,Keeper,-5,3,No,Yes,Time-Turner,287,91,10
Katie Bones,Hufflepuff,5,"9 inches, elm, veela hair core",Toad,Acceptable,Acceptable,Outstanding,19,Beater,5,2,Yes,Yes,"Marauder's Map, Time-Turner, Invisibility Cloak",315,47,3
Padma SpinneSt,Hufflepuff,6,"12 inches, yew, unicorn hair core",Owl,Outstanding,Outstanding,Exceeds Expectations,23,Keeper,-38,4,No,No,Marauder's Map,215,79,4
Pansy Diggory,Hufflepuff,4,"10 inches, oak, dragon heartstring core",Toad,Outstanding,Acceptable,Poor,17,Beater,-96,5,Yes,No,Invisibility Cloak,6,38,1
Fred Lovegood,Hufflepuff,2,"9 inches, elm, veela hair core",Cat,Outstanding,Acceptable,Exceeds Expectations,25,Beater,195,3,Yes,No,Extendable Ears,224,48,6
Padma Granger,Hufflepuff,2,"11 inches, holly, phoenix feather core",Owl,Poor,Acceptable,Exceeds Expectations,8,Beater,148,3,No,Yes,Invisibility Cloak,477,94,8
Draco Zabini,Gryffindor,6,"11 inches, holly, phoenix feather core",Dragon,Acceptable,Acceptable,Outstanding,11,Chaser,-49,4,Yes,No,"Invisibility Cloak, Marauder's Map, Extendable Ears",321,28,3
Cho Bell,Slytherin,1,"9 inches, elm, veela hair core",Cat,Outstanding,Acceptable,Exceeds Expectations,22,Beater,164,5,No,No,"Invisibility Cloak, Extendable Ears",259,65,2
