Student Name,House,Year,Wand Type,Pet,Potions Grade,Defense Against the Dark Arts Grade,Transfiguration Grade,Spells Learned,Quidditch Position,Points Earned for House,Detentions,Participation in Dueling Club,Triwizard Tournament Involvement,Items Owned,Knuts Spent in Hogsmeade,Attendance at Classes,Magical Accidents
,Hufflepuff,5,"11 inches, holly, phoenix feather core",Toad,Outstanding,Exceeds Expectations,Exceeds Expectations,30,Seeker,113,3,No,No,"Sneakoscope, Firebolt, Invisibility Cloak",13,31,10
Ginny Brown,Gryffindor,3,"11 inches, holly, phoenix feather core",Cat,Acceptable,Poor,Outstanding,6,Keeper,-74,0,Yes,No,Invisibility Cloak,101,45,5
,Gryffindor,6,"9 inches, elm, veela hair core",Owl,Outstanding,Acceptable,Outstanding,12,Keeper,84,0,No,,"Invisibility Cloak, Time-Turner",322,35,8
,Gryffindor,5,"12 inches, yew, unicorn hair core",Muggle Born,,Acceptable,Outstanding,8,Seeker,84,3,No,No,Marauder's Map,450,60,6
Susan Spinnet,,7,"9 inches, elm, veela hair core",Toad,Exceeds Expectations,Acceptable,Outstanding,21,Beater,-34,3,No,No,Extendable Ears,96,99,2
Chog Finnigan,Slytherin,4,"11 inches, holly, phoenix feather core",Cat,Exceeds Expectations,Exceeds Expectations,Exceeds Expectations,22,Chaser,-8,0,Yes,No,"Invisibility Cloak, Marauder's Map, Extendable Ears",92,60,10
Cedric Chang,Hufflepuff,5,"12 inches, yew, unicorn hair core",Dragon,Poor,Poor,Acceptable,23,Beater,26,1,Yes,No,Time-Turner,94,66,1
Ginny Parkinson,Ravenclaw,7,"11 inches, holly, phoenix feather core",Owl,Acceptable,Outstanding,Poor,24,,-93,2,No,No,"Sneakoscope, Marauder's Map",404,37,0
Luna Spinnet,Hufflepuff,5,"10 inches, oak, dragon heartstring core",Cat,Acceptable,Exceeds Expectations,Outstanding,10,,88,4,No,No,Invisibility Cloak,418,73,2
Neville Patil,Gryffindor,6,"9 inches, elm, veela hair core",Owl,Acceptable,Acceptable,Outstanding,7,Keeper,-17,4,No,No,Sneakoscope,416,87,10
Hermione Patil,,7,"9 inches, elm, veela hair core",Toad,,Outstanding,Poor,17,Beater,133,2,Yes,Yes,"Marauder's Map, Firebolt",57,59,8
,Gryffindor,1,"12 inches, yew, unicorn hair core",Owl,Exceeds Expectations,Outstanding,Poor,16,,-39,2,Yes,Yes,"Marauder's Map, Invisibility Cloak",130,61,1
Padma Lovegood,HUFFLEPUFF,1,"11 inches, holly, phoenix feather core",Toad,Poor,Acceptable,Exceeds Expectations,13,Beater,195,2,No,,"Firebolt, Invisibility Cloak",451,28,8
Draco Brown,Ravenclaw,1,"10 inches, oak, dragon heartstring core",Cat,Poor,Poor,Poor,10,,107,3,No,Yes,Marauder's Map,315,26,2
Seamus DiggOory,Hufflepuff,1,"12 inches, yew, unicorn hair core",,Exceeds Expectations,Poor,Outstanding,6,Chaser,166,2,No,No,Time-Turner,187,34,1
Padma Granger,Gryffindor,3,"10 inches, oak, dragon heartstring core",,Outstanding,Poor,Acceptable,10,Seeker,13,2,No,,"Firebolt, Time-Turner, Extendable Ears",425,86,3
Luna Chang,Slytherin,2,"10 inches, oak, dragon heartstring core",,Outstanding,Exceeds Expectations,Outstanding,9,Keeper,192,4,No,Yes,Firebolt,52,83,6
Pansy Potter,Gryffindor,1,"11 inches, holly, phoenix feather core",,Outstanding,Poor,Acceptable,9,Chaser,174,0,No,Yes,Firebolt,31,93,10
Chho Brown,Slytherin,2,"10 inches, oak, dragon heartstring core",,Poor,Poor,Outstanding,17,,1,5,Yes,No,"Time-Turner, Invisibility Cloak, Extendable Ears",166,40,8
Parvati Malfoy,,3,"9 inches, elm, veela hair core",Toad,Exceeds Expectations,Poor,Poor,13,Seeker,197,2,Yes,Yes,"Time-Turner, Extendable Ears, Marauder's Map",68,25,0
Cho Longbottom,Slytherin,5,"10 inches, oak, dragon heartstring core",Cat,Poor,Exceeds Expectations,Acceptable,11,Chaser,-49,4,No,Yes,Firebolt,491,95,7
Lavender Thomas,Gryffindor,2,"12 inches, yew, unicorn hair core",Toad,Outstanding,Poor,Exceeds Expectations,28,Chaser,6,3,Yes,Yes,Extendable Ears,278,31,3
Dean Bell,,1,"12 inches, yew, unicorn hair core",Owl,Poor,Acceptable,Exceeds Expectations,26,Keeper,170,2,Yes,Yes,"Marauder's Map, Invisibility Cloak",225,66,6
,Ravenclaw,7,"9 inches, elm, veela hair core",Toad,Poor,Outstanding,Outstanding,24,Keeper,-25,0,No,No,"Firebolt, Time-Turner, Extendable Ears",16,71,5
Padma Spinnet,Gryffindor,1,"10 inches, oak, dragon heartstring core",Dragon,Poor,Outstanding,Acceptable,19,,-19,4,Yes,,Time-Turner,486,32,7
Luna Zabini,Ravenclaw,3,"11 inches, holly, phoenix feather core",Muggle Born,Poor,Exceeds Expectations,Outstanding,19,,-8,0,Yes,,"Invisibility Cloak, Marauder's Map, Sneakoscope",373,53,7
,Ravenclaw,7,"10 inches, oak, dragon heartstring core",Dragon,Acceptable,Acceptable,Acceptable,29,Seeker,-13,3,Yes,No,Marauder's Map,160,48,3
,Slytherin,7,"10 inches, oak, dragon heartstring core",Dragon,Poor,Outstanding,Acceptable,7,,-69,0,No,Yes,"Extendable Ears, Invisibility Cloak",422,98,2
,Slytherin,4,"12 inches, yew, unicorn hair core",Dragon,Outstanding,Outstanding,Poor,30,Beater,134,1,Yes,Yes,"Time-Turner, Firebolt, Sneakoscope",367,66,2
,SLYTHERIN,1,"12 inches, yew, unicorn hair core",,Outstanding,Exceeds Expectations,Outstanding,26,Keeper,178,4,No,No,"Invisibility Cloak, Extendable Ears, Sneakoscope",263,51,6
Angelina Potter,Gryffindor,3,"11 inches, holly, phoenix feather core",Owl,Acceptable,Exceeds Expectations,Poor,12,Chaser,117,1,Yes,No,Time-Turner,171,39,4
Draco JohnsonE,GRYFFINDOR,6,"9 inches, elm, veela hair core",Muggle Born,Exceeds Expectations,Poor,Acceptable,20,,68,1,Yes,Yes,"Firebolt, Sneakoscope, Extendable Ears",159,73,9
GeKorge Boot,Gryffindor,5,"11 inches, holly, phoenix feather core",,Acceptable,Exceeds Expectations,Acceptable,5,Chaser,-84,3,No,,Extendable Ears,203,77,7
Padma Thomas,RAVENCLAW,1,"9 inches, elm, veela hair core",Dragon,Outstanding,Exceeds Expectations,Exceeds Expectations,8,,17,2,No,No,"Invisibility Cloak, Extendable Ears",101,84,8
Padma Finnigan,Ravenclaw,4,"12 inches, yew, unicorn hair core",Dragon,Outstanding,Acceptable,Poor,14,Seeker,-83,5,No,No,"Extendable Ears, Time-Turner",284,69,1
,Hufflepuff,6,"9 inches, elm, veela hair core",Toad,Exceeds Expectations,Acceptable,Exceeds Expectations,27,,32,2,Yes,No,"Extendable Ears, Firebolt",209,66,3
George Malfoy,Ravenclaw,5,"11 inches, holly, phoenix feather core",Owl,Outstanding,Acceptable,Exceeds Expectations,28,Keeper,109,5,Yes,Yes,"Invisibility Cloak, Time-Turner, Marauder's Map",364,86,3
