Student Name,House,Year,Wand Type,Pet,Potions Grade,Defense Against the Dark Arts Grade,Transfiguration Grade,Spells Learned,Quidditch Position,Points Earned for House,Detentions,Participation in Dueling Club,Triwizard Tournament Involvement,Items Owned,Knuts Spent in Hogsmeade,Attendance at Classes,Magical Accidents
,Slytherin,2,"12 inches, yew, unicorn hair core",Dragon,Exceeds Expectations,Poor,Outstanding,25,Beater,160,5,Yes,No,"Marauder's Map, Sneakoscope",86,42,1
Ginny Bones,Hufflepuff,1,"9 inches, elm, veela hair core",Dragon,Poor,Acceptable,Exceeds Expectations,29,Beater,186,1,No,No,"Firebolt, Sneakoscope, Marauder's Map",117,64,8
Ginny Johnson,Gryffindor,5,"9 inches, elm, veela hair core",Dragon,Outstanding,Outstanding,Poor,18,,-52,5,Yes,No,"Extendable Ears, Sneakoscope",415,96,6
Cho Granger,SLYTHERIN,7,"10 inches, oak, dragon heartstring core",Dragon,Acceptable,Acceptable,Acceptable,16,Chaser%,-80,2,No,No,Extendable Ears,138,86,7
Pansy Diggory,RAVENCLAW,4,"12 inches, yew, unicorn hair core",Muggle Born,Acceptable,Acceptable,Exceeds Expectations,16,Seeker,117,0,Yes,Yes,"Sneakoscope, Marauder's Map",177,71,2
Ginny Longbottom,Ravenclaw,6,"12 inches, yew, unicorn hair core",Cat,Acceptable,Acceptable,Outstanding,24,Chaser,111,3,Yes,No,Sneakoscope,191,42,10
Draco Zabini,,3,"12 inches, yew, unicorn hair core",Toad,Poor,Exceeds Expectations,Exceeds Expectations,27,Chaser,121,1,No,,Firebolt,328,37,6
Padma Weasley,SLYTHERIN,1,"11 inches, holly, phoenix feather core",Cat,Acceptable,Exceeds Expectations,Outstanding,8,Seeker,-29,0,Yes,No,Time-Turner,364,71,2
,HUFFLEPUFF,3,"11 inches, holly, phoenix feather core",Owl,Poor,Exceeds Expectations,Exceeds Expectations,27,,81,4,No,,Time-Turner,333,60,10
Neville Lovegood,Slytherin,2,"11 inches, holly, phoenix feather core",Toad,,Acceptable,Outstanding,26,Beater,24,5,Yes,Yes,"Invisibility Cloak, Time-Turner, Sneakoscope",312,51,7
,Ravenclaw,2,"12 inches, yew, unicorn hair core",,Poor,Acceptable,Poor,24,Beater,-15,4,No,No,"Firebolt, Extendable Ears, Invisibility Cloak",228,90,5
Cedric ThRomas,HUFFLEPUFF,4,"10 inches, oak, dragon heartstring core",Dragon,Exceeds Expectations,Exceeds Expectations,Outstanding,19,Seeker,149,1,No,No,Time-Turner,135,67,0
Draco Brown,Gryffindor,4,"9 inches, elm, veela hair core",Owl,Outstanding,Poor,Outstanding,25,Beater,76,5,No,Yes,"Time-Turner, Extendable Ears, Sneakoscope",320,94,6
Angelina Lovegood,Slytherin,7,"9 inches, elm, veela hair core",,Exceeds Expectations,Outstanding,Poor,26,S+eeker,35,0,Yes,No,"Extendable Ears, Marauder's Map",72,54,8
Padma Parkinson,Ravenclaw,7,"10 inches, oak, dragon heartstring core",,Exceeds Expectations,Acceptable,Exceeds Expectations,17,Seeker,130,1,Yes,Yes,"Marauder's Map, Extendable Ears, Time-Turner",485,88,4
Blaise Patil,,4,"11 inches, holly, phoenix feather core",Toad,Acceptable,Exceeds Expectations,Outstanding,18,Seeker,-21,1,Yes,Yes,Firebolt,315,70,1
Blaise Zabini,HUFFLEPUFF,4,"12 inches, yew, unicorn hair core",Owl,Acceptable,Exceeds Expectations,Acceptable,5,Chaser,-66,2,No,Yes,"Time-Turner, Sneakoscope, Marauder's Map",492,92,0
,Gryffindor,4,"11 inches, holly, phoenix feather core",Toad,Acceptable,Exceeds Expectations,Acceptable,11,Seeker,153,4,No,Yes,Extendable Ears,415,78,0
Seamus Thomas,Slytherin,6,"11 inches, holly, phoenix feather core",,Poor,Exceeds Expectations,Poor,17,Keeper,37,2,Yes,,"Time-Turner, Marauder's Map, Invisibility Cloak",152,70,2
Fred Spinnet,RAVENCLAW,1,"9 inches, elm, veela hair core",Toad,Poor,Exceeds Expectations,Poor,9,Keeper,49,0,Yes,Yes,Firebolt,25,96,5
Draco Thomas,Hufflepuff,6,"12 inches, yew, unicorn hair core",Dragon,Exceeds Expectations,Acceptable,Outstanding,17,Seeker,99,2,Yes,No,"Invisibility Cloak, Marauder's Map",257,41,4
Padma Thomas,Gryffindor,4,"11 inches, holly, phoenix feather core",Cat,Exceeds Expectations,Poor,Poor,7,See'ker,-62,4,Yes,Yes,Firebolt,123,84,9
Terry Diggory,GRYFFINDOR,5,"11 inches, holly, phoenix feather core",Muggle Born,Outstanding,Poor,Acceptable,17,,42,0,Yes,Yes,"Extendable Ears, Marauder's Map",177,95,8
,Hufflepuff,5,"12 inches, yew, unicorn hair core",Toad,Poor,Exceeds Expectations,Outstanding,17,Seeker,98,4,No,,"Extendable Ears, Marauder's Map",431,44,2
Katie Bell,Ravenclaw,3,"9 inches, elm, veela hair core",Muggle Born,Poor,Exceeds Expectations,Exceeds Expectations,14,Seeke<r,72,2,No,No,"Time-Turner, Marauder's Map",424,66,8
,HUFFLEPUFF,1,"12 inches, yew, unicorn hair core",Muggle Born,Poor,Acceptable,Exceeds Expectations,26,,-7,0,No,No,"Firebolt, Invisibility Cloak",424,73,4
Paznsy Longbottom,Hufflepuff,7,"12 inches, yew, unicorn hair core",Muggle Born,Exceeds Expectations,Poor,Poor,6,Seeker,41,1,No,No,Sneakoscope,271,31,1
Luna Lovegood,Hufflepuff,3,"11 inches, holly, phoenix feather core",Dragon,Exceeds Expectations,Outstanding,Exceeds Expectations,7,,-30,3,No,No,Extendable Ears,367,32,10
Dean Patil,Hufflepuff,2,"11 inches, holly, phoenix feather core",Owl,Poor,Acceptable,Outstanding,6,Chaser,44,5,No,Yes,"Marauder's Map, Firebolt, Time-Turner",332,44,3
Cwedric Boot,SLYTHERIN,5,"9 inches, elm, veela hair core",Muggle Born,Acceptable,Outstanding,Poor,23,Seeker,-85,1,Yes,No,"Invisibility Cloak, Time-Turner",108,43,1
,Slytherin,2,"11 inches, holly, phoenix feather core",Muggle Born,Poor,Exceeds Expectations,Outstanding,21,Seeker,134,3,Yes,Yes,Marauder's Map,54,44,1
Blaise Longbottom,SLYTHERIN,5,"9 inches, elm, veela hair core",Owl,Acceptable,Exceeds Expectations,Acceptable,23,Keeper,103,3,No,Yes,Invisibility Cloak,494,72,8
,Slytherin,3,"9 inches, elm, veela hair core",,Acceptable,Exceeds Expectations,Outstanding,27,Chaser,27,1,No,No,Marauder's Map,93,28,5
Alicia Bones,Slytherin,5,"10 inches, oak, dragon heartstring core",,Outstanding,Poor,Outstanding,23,Beater,80,2,No,Yes,"Firebolt, Extendable Ears",199,83,2
Harry Bones,,1,"10 inches, oak, dragon heartstring core",Toad,Acceptable,Exceeds Expectations,Poor,30,Seeker,198,2,Yes,No,"Marauder's Map, Firebolt, Extendable Ears",155,85,0
Seamus Patil,Ravenclaw,5,"11 inches, holly, phoenix feather core",Cat,Acceptable,Exceeds Expectations,Exceeds Expectations,22,Chaser,74,5,Yes,No,"Invisibility Cloak, Sneakoscope",419,46,4
Susan Malfoy,GRYFFINDOR,3,"11 inches, holly, phoenix feather core",Cat,Exceeds Expectations,Acceptable,Exceeds Expectations,20,Keeper,195,3,No,No,Marauder's Map,203,84,6
Susan Bones,Ravenclaw,7,"9 inches, elm, veela hair core",Dragon,Exceeds Expectations,Outstanding,Poor,11,Beater,125,0,Yes,Yes,"Invisibility Cloak, Time-Turner, Sneakoscope",442,75,7
Katie Chang,,7,"11 inches, holly, phoenix feather core",Muggle Born,,Poor,Acceptable,10,Chaser,153,1,Yes,Yes,Firebolt,205,25,10
,Gryffindor,1,"12 inches, yew, unicorn hair core",Cat,Acceptable,Poor,Outstanding,18,,105,1,Yes,No,Firebolt,274,54,8
,Ravenclaw,1,"12 inches, yew, unicorn hair core",Cat,Acceptable,Poor,Outstanding,29,Seeker,-98,0,No,Yes,"Invisibility Cloak, Sneakoscope, Firebolt",344,87,7
Blaise Thomas,GRYFFINDOR,3,"10 inches, oak, dragon heartstring core",,Exceeds Expectations,Acceptable,Acceptable,23,Keeper,-89,4,No,Yes,Invisibility Cloak,213,47,0
Susan Parkinson,Gryffindor,2,"10 inches, oak, dragon heartstring core",Muggle Born,Acceptable,Exceeds Expectations,Exceeds Expectations,16,Beater,13,2,Yes,No,"Time-Turner, Extendable Ears",458,71,2
,Ravenclaw,5,"10 inches, oak, dragon heartstring core",,Acceptable,Outstanding,Outstanding,15,Seeker,85,1,No,Yes,"Time-Turner, Firebolt",370,96,4
Ginny Diggory,Ravenclaw,2,"10 inches, oak, dragon heartstring core",,Outstanding,Poor,Exceeds Expectations,8,Chaser,115,3,Yes,Yes,"Extendable Ears, Invisibility Cloak",54,59,10
Luna Finnigan,Hufflepuff,5,"10 inches, oak, dragon heartstring core",Dragon,Outstanding,Exceeds Expectations,Outstanding,21,Beater,12,4,Yes,No,Marauder's Map,90,85,3
,Hufflepuff,3,"11 inches, holly, phoenix feather core",Cat,Acceptable,Outstanding,Poor,7,Keeper,142,4,No,,"Extendable Ears, Marauder's Map, Sneakoscope",392,82,4
,GRYFFINDOR,7,"9 inches, elm, veela hair core",,Outstanding,Exceeds Expectations,Poor,25,Beater,29,0,No,No,"Firebolt, Invisibility Cloak",20,100,6
,Gryffindor,6,"11 inches, holly, phoenix feather core",,Poor,Outstanding,Poor,26,Chaser,83,2,No,No,"Invisibility Cloak, Time-Turner, Extendable Ears",377,73,10
AngeZlina Chang,,1,"11 inches, holly, phoenix feather core",Dragon,Poor,Exceeds Expectations,Acceptable,18,Keeper,55,5,No,No,"Sneakoscope, Time-Turner",9,56,3
Pansy Longbottom,Hufflepuff,4,"11 inches, holly, phoenix feather core",,Exceeds Expectations,Exceeds Expectations,Exceeds Expectations,25,Beater,-70,5,Yes,No,Marauder's Map,340,56,10
,Hufflepuff,3,"9 inches, elm, veela hair core",,Exceeds Expectations,Poor,Acceptable,13,Chaser,-25,0,Yes,No,Invisibility Cloak,93,96,4
Hermrione Brown,Slytherin,7,"12 inches, yew, unicorn hair core",Cat,,Acceptable,Poor,24,Seeker,27,4,No,No,"Marauder's Map, Time-Turner",100,64,8
Cho Weasley,Slytherin,4,"11 inches, holly, phoenix feather core",Toad,Outstanding,Acceptable,Outstanding,5,Kee-per,96,1,Yes,No,"Sneakoscope, Invisibility Cloak",439,74,3
BlaiseZ Patil,Gryffindor,7,"11 inches, holly, phoenix feather core",,Poor,Poor,Outstanding,18,Seeker,-30,4,No,No,"Time-Turner, Extendable Ears, Sneakoscope",391,82,7
Draco Weasley,HUFFLEPUFF,4,"9 inches, elm, veela hair core",Muggle Born,Outstanding,Poor,Acceptable,28,Beater,-54,2,No,Yes,"Firebolt, Extendable Ears",15,27,5
Draco Longbottom,Ravenclaw,2,"10 inches, oak, dragon heartstring core",Dragon,Outstanding,Acceptable,Outstanding,17,,152,1,No,Yes,"Marauder's Map, Invisibility Cloak, Sneakoscope",460,66,10
Pansy Bones,Slytherin,7,"12 inches, yew, unicorn hair core",Cat,,Outstanding,Outstanding,28,Beater,177,0,Yes,No,"Sneakoscope, Marauder's Map",214,66,9
Blaise Diggory,Slytherin,5,"11 inches, holly, phoenix feather core",Owl,Poor,Outstanding,Acceptable,20,Seeker,101,3,No,Yes,Marauder's Map,239,34,0
Lunap Bones,GRYFFINDOR,3,"12 inches, yew, unicorn hair core",,Poor,Outstanding,Outstanding,19,Seeker,35,2,No,No,Extendable Ears,437,60,6
Fred Malfoy,Ravenclaw,7,"9 inches, elm, veela hair core",Muggle Born,Outstanding,Acceptable,Exceeds Expectations,30,Seeker,41,5,Yes,Yes,"Invisibility Cloak, Extendable Ears, Firebolt",53,81,8
LavendIer Bell,Hufflepuff,4,"11 inches, holly, phoenix feather core",Owl,,Poor,Exceeds Expectations,6,Chaser,-4,1,Yes,No,Extendable Ears,201,72,1
Angelina Parkinson,Slytherin,5,"12 inches, yew, unicorn hair core",Muggle Born,Outstanding,Exceeds Expectations,Outstanding,23,Cha|ser,136,3,Yes,No,Extendable Ears,161,90,8
,Hufflepuff,5,"10 inches, oak, dragon heartstring core",Dragon,Poor,Exceeds Expectations,Outstanding,18,Beater,98,3,No,No,Extendable Ears,452,53,10
George Boot,Slytherin,2,"10 inches, oak, dragon heartstring core",Dragon,Exceeds Expectations,Outstanding,Acceptable,12,Keeper,38,1,Yes,Yes,Extendable Ears,57,95,5
,Hufflepuff,7,"12 inches, yew, unicorn hair core",Owl,Outstanding,Acceptable,Poor,19,Beater,199,5,No,No,Time-Turner,237,26,0
Georgem Finnigan,HUFFLEPUFF,6,"9 inches, elm, veela hair core",Muggle Born,Acceptable,Exceeds Expectations,Outstanding,19,Seek`er,119,5,Yes,Yes,Extendable Ears,301,83,1
,Gryffindor,6,"10 inches, oak, dragon heartstring core",Owl,Exceeds Expectations,Poor,Acceptable,13,Chas[er,47,1,Yes,No,Sneakoscope,470,61,9
Susan Diggory,HUFFLEPUFF,1,"9 inches, elm, veela hair core",Muggle Born,Poor,Acceptable,Outstanding,13,Keeper=,12,0,No,Yes,Extendable Ears,451,68,0
,Gryffindor,7,"10 inches, oak, dragon heartstring core",Toad,Poor,Exceeds Expectations,Exceeds Expectations,18,Keeper,103,4,Yes,No,"Marauder's Map, Extendable Ears",359,92,0
Seamus Malfoy,Slytherin,7,"12 inches, yew, unicorn hair core",Owl,Acceptable,Exceeds Expectations,Outstanding,6,Chaser,156,2,No,No,"Time-Turner, Marauder's Map, Firebolt",347,99,9
Neville Longbottom,Hufflepuff,1,"12 inches, yew, unicorn hair core",Muggle Born,,Acceptable,Exceeds Expectations,30,,-96,4,No,No,Marauder's Map,91,79,8
HeWrmione Patil,Ravenclaw,4,"12 inches, yew, unicorn hair core",Cat,Exceeds Expectations,Acceptable,Outstanding,18,Keeper,-65,4,No,Yes,Sneakoscope,195,56,9
Alicia Malfoy,,3,"9 inches, elm, veela hair core",Toad,Outstanding,Exceeds Expectations,Acceptable,26,Seeker,-77,1,No,No,Time-Turner,18,74,0
,Hufflepuff,6,"10 inches, oak, dragon heartstring core",,Exceeds Expectations,Exceeds Expectations,Acceptable,30,,155,0,Yes,No,"Time-Turner, Invisibility Cloak, Marauder's Map",263,50,1
Padma Finnigan,Ravenclaw,1,"11 inches, holly, phoenix feather core",Toad,Poor,Poor,Acceptable,5,Keeper,-61,3,No,Yes,"Sneakoscope, Time-Turner",135,43,3
Luna Brown,,2,"10 inches, oak, dragon heartstring core",,Acceptable,Exceeds Expectations,Outstanding,7,Beate-r,182,5,Yes,No,"Firebolt, Time-Turner, Marauder's Map",312,97,1
Seamus Diggory,Gryffindor,6,"11 inches, holly, phoenix feather core",Cat,Exceeds Expectations,Poor,Outstanding,9,,116,4,No,No,"Marauder's Map, Time-Turner",232,86,2
Alicia Bell,Gryffindor,3,"11 inches, holly, phoenix feather core",Cat,Acceptable,Exceeds Expectations,Acceptable,26,Chaser,-55,5,No,No,"Invisibility Cloak, Time-Turner, Firebolt",90,80,7
Lavender Chang,Ravenclaw,7,"12 inches, yew, unicorn hair core",,Poor,Acceptable,Poor,23,Chaser,161,1,No,No,"Time-Turner, Invisibility Cloak",189,42,0
Katie Malfoy,Slytherin,4,"11 inches, holly, phoenix feather core",Muggle Born,Outstanding,Acceptable,Acceptable,17,"Seek,er",-53,1,No,No,Invisibility Cloak,74,54,2
Katie PChang,GRYFFINDOR,5,"10 inches, oak, dragon heartstring core",,Acceptable,Outstanding,Outstanding,18,Chaser,-43,3,No,No,Extendable Ears,151,37,9
George Malfoy,Gryffindor,2,"10 inches, oak, dragon heartstring core",Dragon,Outstanding,Exceeds Expectations,Outstanding,14,,118,4,Yes,Yes,Marauder's Map,436,58,9
Blaise Parkinson,HUFFLEPUFF,6,"10 inches, oak, dragon heartstring core",,Poor,Acceptable,Poor,21,,78,4,Yes,No,Extendable Ears,173,39,5
Alicia Granger,Hufflepuff,2,"9 inches, elm, veela hair core",Cat,Outstanding,Outstanding,Acceptable,16,,165,2,Yes,No,"Marauder's Map, Time-Turner, Extendable Ears",11,56,2
Terry Granger,Slytherin,7,"12 inches, yew, unicorn hair core",Toad,Poor,Poor,Exceeds Expectations,12,Keep;er,-18,0,No,Yes,Sneakoscope,267,57,1
Parvati Lovegood,Gryffindor,5,"11 inches, holly, phoenix feather core",Cat,Acceptable,Poor,Exceeds Expectations,20,Keeper,39,4,No,Yes,Extendable Ears,121,47,2
Cedric Finnigan,HUFFLEPUFF,3,"11 inches, holly, phoenix feather core",Dragon,Poor,Poor,Exceeds Expectations,27,Seeker,78,0,Yes,Yes,"Invisibility Cloak, Marauder's Map",348,62,2
Luna Granger,RAVENCLAW,2,"11 inches, holly, phoenix feather core",Muggle Born,Exceeds Expectations,Poor,Acceptable,11,Seeker,28,2,Yes,Yes,"Firebolt, Sneakoscope, Time-Turner",30,54,9
,,7,"10 inches, oak, dragon heartstring core",Owl,Acceptable,Poor,Exceeds Expectations,20,Seeker,-71,1,No,Yes,"Marauder's Map, Time-Turner",465,49,9
,Ravenclaw,6,"10 inches, oak, dragon heartstring core",Toad,Acceptable,Poor,Exceeds Expectations,26,Keeper,-95,4,No,No,Firebolt,174,58,9
Pansy Diggoryk,Hufflepuff,7,"11 inches, holly, phoenix feather core",Cat,Poor,Acceptable,Acceptable,9,,57,1,Yes,No,Sneakoscope,1,45,5
HermioUne Malfoy,Slytherin,3,"10 inches, oak, dragon heartstring core",Cat,Exceeds Expectations,Poor,Outstanding,27,Chaser,105,0,No,No,"Sneakoscope, Marauder's Map, Invisibility Cloak",303,75,9
Hermione Brown,GRYFFINDOR,4,"10 inches, oak, dragon heartstring core",Toad,Acceptable,Outstanding,Poor,15,Beater,178,1,Yes,No,"Extendable Ears, Time-Turner",403,83,8
Neville Finnigan,Slytherin,3,"11 inches, holly, phoenix feather core",Muggle Born,Outstanding,Acceptable,Poor,16,Keeper,100,5,No,No,"Marauder's Map, Extendable Ears",32,29,2
Angelina Zabini,SLYTHERIN,2,"10 inches, oak, dragon heartstring core",Cat,Poor,Acceptable,Exceeds Expectations,30,Seeker,-74,5,Yes,No,"Extendable Ears, Sneakoscope",274,40,1
,Slytherin,7,"11 inches, holly, phoenix feather core",,Exceeds Expectations,Outstanding,Outstanding,16,Keeper,124,0,No,No,"Invisibility Cloak, Extendable Ears",187,57,3
,GRYFFINDOR,7,"12 inches, yew, unicorn hair core",,,Exceeds Expectations,Exceeds Expectations,26,Chaser,-81,5,Yes,Yes,"Extendable Ears, Marauder's Map",305,94,9
Cedric Bones,HUFFLEPUFF,2,"9 inches, elm, veela hair core",Owl,Acceptable,Exceeds Expectations,Acceptable,9,Beater,-75,3,No,Yes,"Invisibility Cloak, Marauder's Map",191,93,7
Neville LBones,Ravenclaw,3,"9 inches, elm, veela hair core",Toad,Exceeds Expectations,Acceptable,Outstanding,30,Beater,135,2,Yes,Yes,"Sneakoscope, Invisibility Cloak, Time-Turner",181,53,10
,Hufflepuff,2,"12 inches, yew, unicorn hair core",Toad,Acceptable,Outstanding,Poor,7,Keeper,127,0,No,No,Extendable Ears,218,48,5
Parvati Bell,Ravenclaw,1,"10 inches, oak, dragon heartstring core",Owl,Poor,Poor,Acceptable,24,Keeper,9,0,No,No,"Marauder's Map, Firebolt",464,61,3
Seamus Finnigan,Ravenclaw,5,"12 inches, yew, unicorn hair core",Owl,Acceptable,Acceptable,Exceeds Expectations,9,Chaser,-74,1,Yes,,"Extendable Ears, Invisibility Cloak, Firebolt",442,40,3
