Student Name,House,Year,Wand Type,Pet,Potions Grade,Defense Against the Dark Arts Grade,Transfiguration Grade,Spells Learned,Quidditch Position,Points Earned for House,Detentions,Participation in Dueling Club,Triwizard Tournament Involvement,Items Owned,Knuts Spent in Hogsmeade,Attendance at Classes,Magical Accidents
Terry Bell,Hufflepuff,2,"10 inches, oak, dragon heartstring core",Muggle Born,Exceeds Expectations,Exceeds Expectations,Poor,28,Seeker,89,0,No,No,"Firebolt, Extendable Ears, Invisibility Cloak",252,80,4
,Gryffindor,1,"12 inches, yew, unicorn hair core",Toad,Exceeds Expectations,Acceptable,Outstanding,25,Chaser,158,0,Yes,No,Extendable Ears,493,63,3
Pansy Malfoy,Ravenclaw,4,"12 inches, yew, unicorn hair core",Toad,Outstanding,Exceeds Expectations,Poor,21,Chaser,123,5,Yes,No,"Time-Turner, Invisibility Cloak",440,56,3
,Ravenclaw,1,"11 inches, holly, phoenix feather core",,Exceeds Expectations,Outstanding,Acceptable,21,,2,2,No,Yes,"Sneakoscope, Time-Turner, Invisibility Cloak",360,86,0
Angelina LongbCottom,Gryffindor,2,"9 inches, elm, veela hair core",Cat,Poor,Acceptable,Acceptable,29,,65,2,No,Yes,"Extendable Ears, Marauder's Map",384,31,6
,Slytherin,5,"12 inches, yew, unicorn hair core",Muggle Born,Outstanding,Outstanding,Poor,27,Keeper,128,3,No,Yes,"Extendable Ears, Sneakoscope",266,85,8
Neville Chang,Ravenclaw,6,"11 inches, holly, phoenix feather core",Dragon,,Acceptable,Poor,11,Seeker,31,4,Yes,Yes,"Firebolt, Extendable Ears",97,81,3
,Ravenclaw,4,"11 inches, holly, phoenix feather core",Dragon,Acceptable,Outstanding,Exceeds Expectations,9,,-37,2,No,No,"Firebolt, Invisibility Cloak",256,72,2
Cho Diggory,Ravenclaw,1,"10 inches, oak, dragon heartstring core",Muggle Born,Exceeds Expectations,Acceptable,Poor,15,Seeker,33,4,No,No,Marauder's Map,344,84,1
,Ravenclaw,4,"12 inches, yew, unicorn hair core",Dragon,Acceptable,Acceptable,Outstanding,20,Seeker,84,3,No,No,"Invisibility Cloak, Firebolt",43,31,9
George Malfoy,Gryffindor,1,"10 inches, oak, dragon heartstring core",Muggle Born,Exceeds Expectations,Acceptable,Acceptable,6,Keeper,197,2,Yes,No,"Time-Turner, Firebolt, Marauder's Map",143,89,5
Luna Brown,Hufflepuff,4,"9 inches, elm, veela hair core",Owl,Poor,Poor,Exceeds Expectations,15,Beater,187,3,No,No,"Firebolt, Marauder's Map, Sneakoscope",71,83,6
,Ravenclaw,6,"12 inches, yew, unicorn hair core",Muggle Born,Outstanding,Outstanding,Poor,11,B=eater,127,2,Yes,No,"Time-Turner, Sneakoscope, Invisibility Cloak",436,49,3
,Ravenclaw,1,"12 inches, yew, unicorn hair core",Dragon,,Poor,Exceeds Expectations,22,Beater,-80,4,Yes,,"Sneakoscope, Marauder's Map",438,100,10
Cho Malfoy,Hufflepuff,1,"9 inches, elm, veela hair core",Muggle Born,Outstanding,Outstanding,Poor,7,,116,2,Yes,Yes,"Invisibility Cloak, Firebolt",189,74,4
BlaiWse Chang,Ravenclaw,3,"12 inches, yew, unicorn hair core",Muggle Born,Acceptable,Poor,Poor,17,Chaser,175,4,Yes,No,"Invisibility Cloak, Sneakoscope, Firebolt",184,85,1
Cedric Zabini,Gryffindor,1,"12 inches, yew, unicorn hair core",Muggle Born,Poor,Acceptable,Exceeds Expectations,8,Keeper,-32,2,Yes,No,"Marauder's Map, Invisibility Cloak, Sneakoscope",264,63,5
Harry Johnson,Hufflepuff,3,"11 inches, holly, phoenix feather core",Muggle Born,Acceptable,Poor,Acceptable,16,Beater,126,1,Yes,No,Marauder's Map,87,87,7
Draco eChang,Ravenclaw,3,"10 inches, oak, dragon heartstring core",,Poor,Acceptable,Acceptable,9,Seeker,-45,1,Yes,No,Extendable Ears,132,72,1
,Slytherin,6,"9 inches, elm, veela hair core",Cat,Exceeds Expectations,Acceptable,Outstanding,12,Chas+er,136,4,No,No,"Time-Turner, Extendable Ears, Marauder's Map",76,79,0
Lavender Bxell,Slytherin,6,"11 inches, holly, phoenix feather core",Owl,Outstanding,Acceptable,Acceptable,24,Keeper,57,3,Yes,No,"Invisibility Cloak, Time-Turner, Marauder's Map",231,30,5
Terry Lovegood,Gryffindor,6,"11 inches, holly, phoenix feather core",Cat,Acceptable,Exceeds Expectations,Poor,7,,17,5,No,No,"Sneakoscope, Marauder's Map",358,35,2
Luna Thomas,Slytherin,1,"9 inches, elm, veela hair core",Owl,Poor,Acceptable,Acceptable,27,Beater,89,1,Yes,Yes,"Firebolt, Marauder's Map, Extendable Ears",148,35,4
Pansy MaNlfoy,Ravenclaw,5,"9 inches, elm, veela hair core",Owl,Exceeds Expectations,Poor,Outstanding,13,S&eeker,9,4,No,No,Time-Turner,162,72,8
Ron Finnigan,Ravenclaw,7,"11 inches, holly, phoenix feather core",Muggle Born,Outstanding,Exceeds Expectations,Poor,28,Chaser,165,1,No,No,"Time-Turner, Extendable Ears, Marauder's Map",378,56,9
LFavender Johnson,Gryffindor,7,"10 inches, oak, dragon heartstring core",Muggle Born,Outstanding,Exceeds Expectations,Outstanding,22,Keeper,45,2,Yes,No,Time-Turner,436,86,6
Cedric Spinnet,GRYFFINDOR,4,"10 inches, oak, dragon heartstring core",,Outstanding,Exceeds Expectations,Exceeds Expectations,11,,120,1,Yes,Yes,"Time-Turner, Extendable Ears",387,81,5
Neville Parkinson,Ravenclaw,7,"10 inches, oak, dragon heartstring core",,Poor,Poor,Poor,28,,-2,0,No,No,Invisibility Cloak,283,74,8
Hermione Boot,SLYTHERIN,6,"12 inches, yew, unicorn hair core",Muggle Born,Poor,Outstanding,Poor,26,Seeke~r,141,0,No,Yes,Firebolt,381,46,3
Dean Longbottom,,5,"12 inches, yew, unicorn hair core",Toad,Poor,Exceeds Expectations,Acceptable,16,Seeke@r,34,0,No,Yes,"Sneakoscope, Invisibility Cloak",189,82,2
,Gryffindor,2,"10 inches, oak, dragon heartstring core",Dragon,Outstanding,Poor,Outstanding,10,Keeper,189,0,Yes,Yes,"Extendable Ears, Invisibility Cloak, Sneakoscope",99,48,9
Luna Bell,GRYFFINDOR,3,"12 inches, yew, unicorn hair core",Cat,Exceeds Expectations,Outstanding,Outstanding,10,Chaser,-86,5,No,No,"Invisibility Cloak, Sneakoscope, Extendable Ears",362,49,5
George Finnigan,Gryffindor,2,"9 inches, elm, veela hair core",Dragon,Exceeds Expectations,Poor,Acceptable,16,Ke^eper,156,3,Yes,No,Sneakoscope,156,65,1
Terry Johnson,Slytherin,4,"12 inches, yew, unicorn hair core",Dragon,Poor,Exceeds Expectations,Exceeds Expectations,15,Seeker,41,2,No,Yes,"Extendable Ears, Invisibility Cloak, Marauder's Map",0,75,9
Cho Boot,Gryffindor,2,"9 inches, elm, veela hair core",Cat,Acceptable,Exceeds Expectations,Acceptable,26,"Chas,er",54,5,Yes,Yes,"Invisibility Cloak, Firebolt, Extendable Ears",68,33,8
,Hufflepuff,7,"9 inches, elm, veela hair core",Muggle Born,Outstanding,Poor,Poor,9,Chaser,151,2,No,Yes,Marauder's Map,299,71,2
Luna Granger,Slytherin,2,"12 inches, yew, unicorn hair core",,Outstanding,Poor,Poor,29,Seeker,-34,4,No,Yes,"Firebolt, Extendable Ears",392,79,10
Pansy Finnigan,Slytherin,5,"10 inches, oak, dragon heartstring core",Cat,Outstanding,Acceptable,Poor,26,Keeper,21,1,Yes,Yes,"Invisibility Cloak, Firebolt",377,47,3
Dean Thomas,Slytherin,7,"10 inches, oak, dragon heartstring core",Owl,Exceeds Expectations,Poor,Acceptable,7,Seeker?,137,4,No,Yes,"Extendable Ears, Marauder's Map, Sneakoscope",285,81,5
Dean Chanhg,Gryffindor,5,"9 inches, elm, veela hair core",Cat,Acceptable,Acceptable,Acceptable,7,Chase=r,-85,0,No,No,"Time-Turner, Marauder's Map, Sneakoscope",380,96,10
Ron Spinnet,Hufflepuff,1,"9 inches, elm, veela hair core",,Exceeds Expectations,Poor,Outstanding,11,Seeker;,176,1,No,Yes,"Marauder's Map, Extendable Ears",228,46,8
,Gryffindor,6,"12 inches, yew, unicorn hair core",Owl,Acceptable,Outstanding,Acceptable,14,,61,4,No,No,"Extendable Ears, Firebolt, Marauder's Map",252,77,3
Angelina Spinnet,Slytherin,5,"10 inches, oak, dragon heartstring core",Toad,Outstanding,Acceptable,Poor,30,Seeker,131,2,Yes,Yes,"Sneakoscope, Time-Turner, Invisibility Cloak",300,76,0
George Patil,Hufflepuff,5,"9 inches, elm, veela hair core",,Poor,Exceeds Expectations,Exceeds Expectations,19,Keeper,8,2,Yes,No,"Extendable Ears, Time-Turner",414,59,6
Ginny Brown,Hufflepuff,1,"10 inches, oak, dragon heartstring core",Muggle Born,Acceptable,Poor,Poor,18,S.eeker,133,2,Yes,Yes,"Firebolt, Sneakoscope",57,67,5
Padma Malfoy,Hufflepuff,3,"9 inches, elm, veela hair core",Muggle Born,Acceptable,Outstanding,Exceeds Expectations,21,Chaser,-55,5,No,No,"Invisibility Cloak, Time-Turner, Marauder's Map",216,29,6
,Hufflepuff,6,"9 inches, elm, veela hair core",Dragon,Exceeds Expectations,Exceeds Expectations,Acceptable,26,Chaser,121,1,No,No,Firebolt,228,42,1
,RAVENCLAW,5,"9 inches, elm, veela hair core",,Exceeds Expectations,Exceeds Expectations,Poor,7,Chaser,181,4,No,Yes,"Marauder's Map, Firebolt",137,89,9
Fred Weasley,Hufflepuff,7,"11 inches, holly, phoenix feather core",Toad,Exceeds Expectations,Outstanding,Exceeds Expectations,30,Ch]aser,145,3,Yes,No,"Firebolt, Sneakoscope",200,65,9
Alicia Granger,Slytherin,5,"9 inches, elm, veela hair core",Owl,Exceeds Expectations,Poor,Exceeds Expectations,19,Chaser\,109,1,Yes,No,Sneakoscope,94,62,5
Pansy Diggoryt,Ravenclaw,4,"12 inches, yew, unicorn hair core",Dragon,Outstanding,Outstanding,Exceeds Expectations,14,Seeker,-69,0,Yes,No,"Sneakoscope, Marauder's Map",70,64,6
Lavender Boot,Ravenclaw,4,"10 inches, oak, dragon heartstring core",Muggle Born,Outstanding,Poor,Exceeds Expectations,25,,64,5,Yes,No,Extendable Ears,43,69,4
,Slytherin,3,"9 inches, elm, veela hair core",Toad,Poor,Poor,Outstanding,27,Keep}er,-89,3,No,Yes,"Sneakoscope, Invisibility Cloak, Firebolt",215,35,5
Blaise Potter,Hufflepuff,2,"10 inches, oak, dragon heartstring core",Owl,Exceeds Expectations,Exceeds Expectations,Exceeds Expectations,24,Seeker,133,2,Yes,No,"Sneakoscope, Marauder's Map",22,60,1
Lavender Weasley,Gryffindor,5,"12 inches, yew, unicorn hair core",Owl,Acceptable,Outstanding,Outstanding,28,Chaser,7,2,Yes,Yes,"Time-Turner, Firebolt",464,52,2
Katie Zabini,Gryffindor,3,"10 inches, oak, dragon heartstring core",,Poor,Acceptable,Poor,5,,99,0,No,No,"Time-Turner, Sneakoscope",341,46,4
,Gryffindor,6,"9 inches, elm, veela hair core",,Poor,Acceptable,Outstanding,13,Keeper,83,4,No,No,Marauder's Map,44,58,5
Draco Spinnet,Gryffindor,1,"11 inches, holly, phoenix feather core",Toad,Exceeds Expectations,Poor,Outstanding,28,Beater,36,1,No,No,Time-Turner,150,33,1
Parvati Zabini,Gryffindor,7,"10 inches, oak, dragon heartstring core",Dragon,,Exceeds Expectations,Acceptable,5,Chase]r,185,0,No,Yes,"Time-Turner, Invisibility Cloak",54,76,10
Blaise Johnson,Slytherin,7,"12 inches, yew, unicorn hair core",Owl,Exceeds Expectations,Exceeds Expectations,Exceeds Expectations,24,Kee`per,97,3,No,Yes,Firebolt,290,29,5
Cedric Longbottom,Slytherin,5,"9 inches, elm, veela hair core",Cat,Outstanding,Acceptable,Exceeds Expectations,19,Keeper,58,5,Yes,No,"Invisibility Cloak, Marauder's Map, Firebolt",356,75,9
,Gryffindor,7,"11 inches, holly, phoenix feather core",Dragon,Poor,Outstanding,Exceeds Expectations,28,Beater,36,2,Yes,Yes,"Invisibility Cloak, Time-Turner",79,38,6
Cho Spinnet,Gryffindor,3,"11 inches, holly, phoenix feather core",Cat,Exceeds Expectations,Poor,Poor,30,Seeker,182,4,No,Yes,"Firebolt, Time-Turner, Sneakoscope",242,56,1
Cho Potter,Hufflepuff,1,"9 inches, elm, veela hair core",Muggle Born,Exceeds Expectations,Acceptable,Poor,30,Beater,106,1,No,No,Sneakoscope,231,62,1
,GRYFFINDOR,6,"11 inches, holly, phoenix feather core",Toad,Outstanding,Outstanding,Outstanding,18,Seek\er,125,4,Yes,No,Marauder's Map,122,81,3
Fred Brown,Gryffindor,2,"12 inches, yew, unicorn hair core",,Exceeds Expectations,Outstanding,Outstanding,29,Beater,-99,4,No,Yes,"Extendable Ears, Marauder's Map",203,94,7
,Slytherin,3,"11 inches, holly, phoenix feather core",Muggle Born,Acceptable,Exceeds Expectations,Outstanding,10,Beater,169,3,No,Yes,Sneakoscope,471,25,10
Lavender Bell,Gryffindor,5,"9 inches, elm, veela hair core",Dragon,Poor,Exceeds Expectations,Outstanding,13,,84,1,Yes,Yes,"Sneakoscope, Invisibility Cloak, Time-Turner",222,37,0
Blaise Patil,GRYFFINDOR,2,"11 inches, holly, phoenix feather core",Dragon,Acceptable,Acceptable,Exceeds Expectations,18,Chaser,-20,3,Yes,No,"Time-Turner, Sneakoscope, Extendable Ears",464,42,7
Neville Malfoy,Ravenclaw,1,"11 inches, holly, phoenix feather core",Muggle Born,Poor,Exceeds Expectations,Exceeds Expectations,22,Seeker,177,4,Yes,Yes,Extendable Ears,105,61,10
,,4,"9 inches, elm, veela hair core",Owl,Outstanding,Acceptable,Exceeds Expectations,19,Beater,-34,3,No,No,"Invisibility Cloak, Time-Turner",448,56,7
Katie Weasley,Gryffindor,4,"10 inches, oak, dragon heartstring core",Dragon,Exceeds Expectations,Poor,Acceptable,16,Be{ater,155,3,No,No,"Invisibility Cloak, Sneakoscope, Extendable Ears",74,98,7
Luna OLovegood,Slytherin,4,"10 inches, oak, dragon heartstring core",Muggle Born,Exceeds Expectations,Poor,Outstanding,28,Chaser,126,0,Yes,No,"Firebolt, Marauder's Map, Sneakoscope",333,70,4
,Ravenclaw,7,"11 inches, holly, phoenix feather core",Muggle Born,Acceptable,Outstanding,Exceeds Expectations,23,Seeker,20,4,No,No,"Marauder's Map, Firebolt",317,61,7
Pansy Thomas,,5,"11 inches, holly, phoenix feather core",Muggle Born,Poor,Outstanding,Exceeds Expectations,28,Keeper,-39,4,Yes,No,Invisibility Cloak,239,31,3
,Gryffindor,5,"10 inches, oak, dragon heartstring core",,Exceeds Expectations,Exceeds Expectations,Outstanding,23,Beater,22,1,Yes,Yes,"Firebolt, Time-Turner",285,70,3
,Slytherin,1,"10 inches, oak, dragon heartstring core",Owl,Poor,Outstanding,Poor,24,Chaser,-91,2,Yes,No,Firebolt,86,62,2
,,6,"12 inches, yew, unicorn hair core",Owl,Outstanding,Exceeds Expectations,Poor,7,Seeker,-84,2,No,No,"Time-Turner, Extendable Ears",451,84,3
,Slytherin,1,"10 inches, oak, dragon heartstring core",Owl,Outstanding,Exceeds Expectations,Outstanding,25,Beater,17,2,No,Yes,"Invisibility Cloak, Marauder's Map, Sneakoscope",364,44,9
,,7,"12 inches, yew, unicorn hair core",Toad,Acceptable,Exceeds Expectations,Exceeds Expectations,20,Keeper,112,3,No,No,Extendable Ears,426,78,4
,Slytherin,4,"12 inches, yew, unicorn hair core",Dragon,Exceeds Expectations,Exceeds Expectations,Outstanding,8,Seeker,58,0,Yes,Yes,"Time-Turner, Firebolt",115,32,10
Ron Bell,Slytherin,6,"12 inches, yew, unicorn hair core",Muggle Born,Exceeds Expectations,Exceeds Expectations,Poor,12,S-eeker,123,0,No,Yes,"Invisibility Cloak, Firebolt, Time-Turner",353,47,9
Alicia Johnson,Ravenclaw,4,"12 inches, yew, unicorn hair core",Muggle Born,Exceeds Expectations,Poor,Outstanding,26,,-42,3,No,No,"Sneakoscope, Marauder's Map",19,97,2
,Gryffindor,3,"11 inches, holly, phoenix feather core",Toad,Outstanding,Outstanding,Poor,11,Ch>aser,194,2,Yes,Yes,"Firebolt, Sneakoscope, Marauder's Map",133,62,4
Luna Johnson,Ravenclaw,6,"10 inches, oak, dragon heartstring core",Dragon,Outstanding,Poor,Exceeds Expectations,20,,-51,4,No,No,"Invisibility Cloak, Firebolt",130,82,1
George Brown,Gryffindor,2,"12 inches, yew, unicorn hair core",,Exceeds Expectations,Poor,Outstanding,6,Chaser,52,3,No,No,"Firebolt, Time-Turner, Invisibility Cloak",89,40,9
,Ravenclaw,6,"11 inches, holly, phoenix feather core",Muggle Born,Poor,Poor,Outstanding,14,,81,2,Yes,No,"Marauder's Map, Sneakoscope",39,51,0
Draco Weasley,,4,"12 inches, yew, unicorn hair core",Dragon,Outstanding,Outstanding,Exceeds Expectations,12,,-38,2,Yes,No,"Marauder's Map, Time-Turner",259,91,4
Terry Chang,Slytherin,5,"10 inches, oak, dragon heartstring core",Cat,Acceptable,Exceeds Expectations,Outstanding,5,,47,5,No,,"Extendable Ears, Marauder's Map",365,75,10
GYinny Potter,Gryffindor,3,"10 inches, oak, dragon heartstring core",Owl,Exceeds Expectations,Acceptable,Exceeds Expectations,21,Beater,193,1,No,Yes,"Marauder's Map, Firebolt, Invisibility Cloak",80,62,4
